Company,NAICS_Final,Has_Reviews,Data_Confidence,Review_Count,Employees,Business_Status,Latitude,Longitude,Street_Address,Business_Website,Legal_Status,Year_Established,Operating_Hours,Key_Features_Notes,Last_Review_Date,Match_Reasoning
Backstory Coffee Roasters - North Loop,722515,Yes,High,5,,Active,,,"528 N Washington Ave, Minneapolis, MN 55401, USA",,,,,"Cozy coffee shop with a great ambiance, offering a variety of drinks and pastries.",2025-12-20,"The reviews consistently describe the establishment as a coffee shop, confirming its classification under NAICS 722515."
FRGMNT Coffee - St. Anthony Main,722515,Yes,High,5,,Active,,,"43 SE Main St, Minneapolis, MN 55414, USA",,,,,"Beautiful location in a spacious building with a cozy atmosphere, limited coffee menu, and a pleasant ambiance.",2026-01-10,"The reviews consistently describe the facility as a coffee shop with a cozy atmosphere, confirming its classification under NAICS 722515."
yellowbird coffee bar NE,722515,Yes,High,5,,Active,,,"639 22nd Ave NE, Minneapolis, MN 55418, USA",,,,,"Coffee shop offering a variety of coffee and snacks, spacious seating, and a creative work environment.",2026-01-03,"The reviews consistently describe the establishment as a coffee shop with a focus on quality coffee and a comfortable atmosphere, aligning with the target NAICS code for coffee shops."
Wildflyer Coffee,722515,Yes,High,5,,Active,,,"3262 Minnehaha Ave, Minneapolis, MN 55406, USA",,,,,"Wildflyer Coffee is a coffee shop known for its delightful drinks, friendly staff, and a pleasant atmosphere suitable for socializing and working.",2026-01-11,"The reviews consistently describe Wildflyer Coffee as a coffee shop with a focus on drinks and food, confirming its classification under NAICS 722515."
In The Loop Coffee Co.,722515,Yes,High,5,,Active,,,"708 N 1st St UNIT 136, Minneapolis, MN 55401, USA",,,,,A cozy coffee shop known for its banana bread latte and dog-friendly atmosphere.,2025-10-09,"The reviews confirm that 'In The Loop Coffee Co.' operates as a coffee shop, with mentions of coffee drinks and a welcoming environment for dogs, aligning with the target NAICS code 722515."
"Five Watt Coffee, Kingfield",722515,Yes,High,5,,Active,,,"3745 Nicollet Ave, Minneapolis, MN 55409, USA",,,,,Popular coffee shop known for unique drinks and high-quality coffee.,2025-10-06,"The reviews describe a coffee shop with a focus on high-quality coffee and unique drinks, aligning with the target category of a coffee shop."
Lake and Bryant Cafe,722515,Yes,High,5,,Active,,,"821 W Lake St, Minneapolis, MN 55408, USA",,,,,"A cafe offering a variety of breakfast and brunch options, known for its flavorful dishes and friendly service.",2026-01-03,"The reviews describe a cafe that serves breakfast and brunch, aligning with the characteristics of a coffee shop, thus justifying the NAICS code 722515."
Gray Fox Coffee,722515,Yes,High,5,,Active,,,"800 La Salle Ave, Minneapolis, MN 55402, USA",,,,,"Popular coffee shop with great customer service and a variety of coffee options, including lattes and bagels.",2025-04-24,"The reviews consistently describe a coffee shop experience, highlighting the quality of coffee and customer service, which aligns with the target NAICS code for coffee shops."
SunBean Coffee,722515,Yes,High,5,,Active,,,"4553 S 34th Ave, Minneapolis, MN 55406, USA",,,,,"Specialty coffee drinks, warm environment, friendly baristas.",2025-12-30,"The reviews describe a coffee shop with specialty drinks and a warm community atmosphere, which aligns with the target category of a coffee shop."
Bichota Coffee,722515,Yes,High,5,,Active,,,"3740 Chicago Ave, Minneapolis, MN 55407, USA",,,,,A hangout spot in south Minneapolis offering unique beverages and a friendly atmosphere.,2025-12-11,"The reviews describe Bichota Coffee as a coffee shop with a focus on beverages and a social atmosphere, aligning with the target category of a coffee shop."
Mocha Momma's Coffee,722515,Yes,High,5,,Active,,,"300 Nicollet Mall, Minneapolis, MN 55401, USA",,,,,"Offers a variety of coffee drinks, including vegan and gluten-free options, with a welcoming atmosphere.",2025-12-22,"The reviews confirm that Mocha Momma's Coffee is a coffee shop, with multiple mentions of coffee drinks and a café-like atmosphere."
Moonlight Cafe,722515,Yes,High,5,,Active,,,"200 W Lake St Suite 303, Minneapolis, MN 55408, USA",,,,,"Moonlight Cafe offers a variety of specialty drinks including lattes and matcha, and is noted for its beautiful design and ambiance.",2025-11-07,"The reviews describe a coffee shop with a focus on specialty drinks, which aligns with the target NAICS code for coffee shops (722515)."
Cuppa Java,722515,Yes,High,5,,Active,,,"400 Penn Ave S, Minneapolis, MN 55405, USA",,,,,"Cuppa Java is a coffee shop that offers a variety of coffee and food options, with positive reviews highlighting the quality of both.",2026-01-06,"The reviews clearly describe Cuppa Java as a coffee shop with a focus on coffee and food, aligning with the target NAICS code 722515."
Fairgrounds Craft Coffee and Tea,722515,Yes,High,5,,Active,,,"116 N 3rd Ave, Minneapolis, MN 55401, USA",,,,,"A cozy coffee shop offering a variety of coffee drinks and breakfast options, with both indoor and outdoor seating.",2026-01-12,"The reviews describe a coffee shop with a focus on coffee and food offerings, aligning with the target category of a coffee shop."
Corner Coffee Downtown,722515,Yes,High,5,,Active,,,"905 Nicollet Mall, Minneapolis, MN 55402, USA",,,,,"Artisanal coffee, nice atmosphere, food offerings.",2026-01-03,"The reviews describe a coffee shop with a focus on artisanal coffee and food offerings, which aligns with the target category of a coffee shop (NAICS 722515)."
The Boiler Room,722515,Yes,High,5,,Active,,,"1830 3rd Ave S, Minneapolis, MN 55404, USA",,,,,"Coffee shop with a variety of coffee drinks, pastries, and a friendly atmosphere.",2026-01-13,"The reviews indicate that The Boiler Room is a coffee shop, with mentions of coffee drinks and pastries, aligning with the target NAICS code 722515."
Bordertown Coffee,722515,Yes,High,5,,Active,,,"315 16th Ave SE, Minneapolis, MN 55414, USA",,,,,"Cozy and inviting coffee shop with a rustic vibe, popular for studying.",2025-11-05,"The reviews consistently describe Bordertown Coffee as a coffee shop with a cozy atmosphere, confirming its classification under NAICS 722515."
"Five Watt Coffee, E. Hennepin",722515,Yes,High,5,,Active,,,"861 E Hennepin Ave UNIT 106, Minneapolis, MN 55414, USA",,,,,Five Watt Coffee is a welcoming coffee shop known for its fantastic coffee and friendly staff.,2025-10-14,"The reviews confirm that Five Watt Coffee is a coffee shop, matching the target category for NAICS 722515."
Dero Coffee Shop,722515,Yes,High,5,,Active,,,"838 40th Ave NE, Columbia Heights, MN 55421, USA",,,,,"A quaint coffee shop with a nice atmosphere, high-quality drinks, and friendly service.",2025-11-15,"The reviews describe a coffee shop with inviting ambiance and quality drinks, confirming it fits the target category for NAICS 722515."
Shortwave Coffee,722515,Yes,High,5,,Active,,,"824 W 50th St, Minneapolis, MN 55419, USA",,,,,"Shortwave Coffee is a coffee shop known for its delicious coffee, vegan options, and a friendly atmosphere.",2025-12-22,"The reviews clearly describe Shortwave Coffee as a coffee shop with positive experiences related to coffee and customer service, aligning with the target NAICS code 722515."
PILLLAR Forum Cafe & Bar,722515,Yes,High,5,,Active,,,"2300 Central Ave NE, Minneapolis, MN 55418, USA",,,,,"A cafe and bar offering coffee, pastries, and a fun atmosphere with a focus on sustainability.",2026-01-13,"The reviews describe a coffee shop experience with high ratings for coffee and pastries, aligning with the target category of a coffee shop."
Spyhouse Coffee Roasters | North Loop,722515,Yes,High,5,,Active,,,"907 N Washington Ave, Minneapolis, MN 55401, USA",,,,,Specializes in coffee with a focus on customer experience and offers a variety of drinks and pastries.,2025-11-29,"The reviews confirm that Spyhouse Coffee Roasters | North Loop is a coffee shop, discussing their coffee offerings and customer service, which aligns with the NAICS code 722515."
Northern Coffeeworks,722515,Yes,High,5,,Active,,,"4208 S 28th Ave, Minneapolis, MN 55406, USA",,,,,"A busy coffee shop with a variety of seating options, including tables for working and charging devices, and a menu featuring unique coffee drinks.",2026-01-13,"The reviews describe a coffee shop environment with features typical of a coffee shop, confirming the classification under NAICS 722515."
Gray Fox Coffee & Wine,722515,Yes,High,5,,Active,,,"801 S Marquette Ave, Minneapolis, MN 55402, USA",,,,,"A café and wine bistro located in downtown Minneapolis, offering a spacious environment for working and socializing, with a focus on coffee and wine.",2025-09-15,"The reviews describe a café and wine bistro, which aligns with the characteristics of a coffee shop, justifying the NAICS code 722515."
Dogwood Coffee - Northeast,722515,Yes,High,5,,Active,,,"1209 Tyler St NE, Minneapolis, MN 55413, USA",,,,,"Popular coffee shop with spacious seating and a lively atmosphere, known for exceptional coffee.",2025-12-01,"The reviews consistently describe the establishment as a coffee shop with a focus on quality coffee, matching the target NAICS code for coffee shops."
Sisters' Sludge Coffee Cafe and Wine Bar,722515,Yes,High,5,,Active,,,"3746 23rd Ave S, Minneapolis, MN 55407, USA",,,,,"A coffee shop with a relaxed atmosphere, friendly staff, and a menu featuring coffee, cookies, and breakfast burritos.",2025-11-11,"The reviews describe a coffee shop atmosphere with food and coffee offerings, aligning with the target category of a coffee shop."
Càphin Minneapolis,722515,Yes,High,5,,Active,,,"4503 France Ave S, Minneapolis, MN 55410, USA",,,,,"Coffee shop offering unique drinks with Asian flavors, busy atmosphere, and food options like croissants.",2026-01-11,"The reviews describe a coffee shop with various drinks and food offerings, confirming it fits the target category for NAICS 722515."
7 Corners Coffee - Minneapolis - East Bank,722515,Yes,High,5,,Active,,,"720 Washington Ave SE, Minneapolis, MN 55414, USA",,,,,A coffee shop offering creative seasonal lattes and a high-quality experience compared to larger chains.,2025-10-16,"The reviews confirm that 7 Corners Coffee operates as a coffee shop, with positive feedback on their coffee offerings and customer service."
Curioso Coffee Bar: Uptown,722515,Yes,High,5,,Active,,,"3001 Hennepin Ave S Suite 1175, Minneapolis, MN 55408, USA",,,,,"Curioso Coffee Bar: Uptown is a cozy coffee shop known for its delicious coffee, good customer service, and a pleasant atmosphere.",2025-09-28,"The reviews describe a coffee shop with a focus on quality coffee and a pleasant environment, aligning with the target category of a coffee shop (NAICS 722515)."
Walden Coffee,722515,Yes,High,5,,Active,,,"520 NE Lowry Ave, Minneapolis, MN 55418, USA",,,,,"Cozy coffee shop with friendly staff, well-made lattes, and a welcoming atmosphere.",2026-01-10,"The reviews describe a coffee shop with positive experiences related to coffee and atmosphere, confirming it fits the target category."
Pow Wow Grounds,722515,Yes,High,5,,Active,,,"1414 E Franklin Ave, Minneapolis, MN 55404, USA",,,,,Offers specialty coffee and unique food items like fry bread tacos and homemade muffins.,2026-01-17,"The reviews indicate that Pow Wow Grounds serves coffee and food items, aligning with the characteristics of a coffee shop."
Aster Cafe,722511,Yes,High,5,,Active,,,"125 SE Main St, Minneapolis, MN 55414, USA",,,,,"Aster Cafe offers a dining experience with live music, attentive service, and a diverse menu, particularly noted for its New Year's Eve celebrations.",2026-01-16,"The reviews indicate that Aster Cafe operates as a restaurant with a focus on dining and service, which aligns more closely with NAICS 722511 (Full-Service Restaurants) rather than a coffee shop."
FRGMNT Coffee - North Loop,722515,Yes,High,5,,Active,,,"729 N Washington Ave, Minneapolis, MN 55401, USA",,,,,"Coffee shop offering a variety of coffee drinks, including limited items and specialty drinks.",2025-12-18,"The reviews indicate that FRGMNT Coffee - North Loop is a coffee shop, with mentions of coffee drinks and a café-like atmosphere, aligning with the target NAICS code 722515."
Caffetto Coffee House,722515,Yes,High,5,,Active,,,"708 W 22nd St, Minneapolis, MN 55405, USA",,,,,"Caffetto Coffee House is a small, independent café known for its cozy atmosphere and a variety of drinks including hot chocolate and chai tea.",2026-01-01,"The reviews describe a coffee shop experience, highlighting drinks and a café atmosphere, which aligns with the target category of a coffee shop."
Spyhouse Coffee Roasters | Northeast,722515,Yes,High,5,,Active,,,"945 Broadway St NE, Minneapolis, MN 55413, USA",,,,,"Popular coffee shop known for its lattes and pastries, located in an old factory atmosphere.",2026-01-10,"The reviews confirm that Spyhouse Coffee Roasters is a coffee shop, with mentions of various coffee drinks and pastries, aligning with the target NAICS code for coffee shops."
Fawkes Alley Coffee,722515,Yes,High,5,,Active,,,"1621 Harmon Pl, Minneapolis, MN 55403, USA",,,,,"Local coffee shop offering a variety of coffee drinks, including unique combinations, with indoor and outdoor seating.",2025-11-25,"The reviews clearly describe a coffee shop with various coffee offerings and a welcoming atmosphere, confirming the classification as a coffee shop."
Silver Fern,722515,Yes,High,5,,Active,,,"114 E Hennepin Ave, Minneapolis, MN 55414, USA",,,,,"A coffee shop offering a variety of coffee flights and a warm, welcoming atmosphere.",2026-01-10,"The reviews clearly describe Silver Fern as a coffee shop, highlighting its coffee offerings and ambiance, which aligns with the NAICS code for coffee shops."
Momo cafe,722515,Yes,High,5,,Active,,,"3035 Central Ave NE, Minneapolis, MN 55418, USA",,,,,"Momo cafe is a vibrant cafe with a focus on cultural representation, offering a variety of drinks and food, including unique lattes.",2025-11-11,"The reviews describe Momo cafe as a coffee shop with a diverse menu and a cafe atmosphere, aligning with the target category of a coffee shop."
Mojo Coffee Gallery,722515,Yes,High,5,,Active,,,"2205 California St NE, Minneapolis, MN 55418, USA",,,,,Cozy café atmosphere with a focus on specialty coffee drinks and art displays.,2025-12-30,"The reviews clearly describe a coffee shop with a focus on specialty drinks and a welcoming atmosphere, aligning with the target NAICS code for coffee shops."
Sainaa Cafe,722515,Yes,High,5,,Active,,,"317 W Lake St, Minneapolis, MN 55408, USA",,,,,"A cheerful cafe offering a variety of drinks, including specialty lattes, with a focus on customer service.",2025-11-11,"The reviews describe a cafe environment with a focus on coffee and customer service, aligning with the characteristics of a coffee shop."
Spyhouse Coffee Roasters | Downtown / Emery,722515,Yes,High,5,,Active,,,"215 S 4th St, Minneapolis, MN 55401, USA",,,,,"Specialty coffee shop located in a hotel lobby, offering a variety of espresso drinks and seasonal lattes.",2026-01-07,"The reviews confirm that Spyhouse Coffee Roasters operates as a coffee shop, providing specialty coffee and espresso drinks, which aligns with the target NAICS code 722515."
Sovereign Grounds,722515,Yes,High,5,,Active,,,"813 E 48th St, Minneapolis, MN 55417, USA",,,,,A welcoming coffee shop that is kid-friendly and offers a variety of coffee options.,2026-01-12,"The reviews confirm that Sovereign Grounds is a coffee shop, which aligns with the target NAICS code 722515."
FRGMNT Coffee - Mill District,722515,Yes,High,5,,Active,,,"1011 Washington Ave S, Minneapolis, MN 55415, USA",,,,,"FRGMNT Coffee - Mill District offers a variety of coffee drinks, including lattes, and has bakery items and light snacks.",2026-01-05,"The reviews describe a coffee shop experience with various coffee drinks and light food options, aligning with the target category of a coffee shop."
The Briar,722515,Yes,High,5,,Active,,,"1231 Washington St NE, Minneapolis, MN 55413, USA",,,,,"Neighborhood bistro offering coffee, breakfast, and lunch in a clean environment with a progressive vibe.",2025-11-24,"The reviews describe a coffee shop and bistro atmosphere, indicating that The Briar serves coffee and food, aligning with the NAICS code for coffee shops."
Qahwah House Coffee - Minneapolis,722515,Yes,High,5,,Active,,,"1851 Central Ave NE, Minneapolis, MN 55418, USA",,,,,"Offers a variety of coffees, teas, and pastries, including special Yemeni coffee and unique chai drinks.",2025-12-20,"The reviews describe a coffee shop with a variety of coffee and tea offerings, confirming it fits the target category of a coffee shop."
Sip Society Coffee,722515,Yes,High,5,,Active,,,"2839 Emerson Ave S, Minneapolis, MN 55408, USA",,,,,"A welcoming coffee shop with a variety of specialty drinks and comfortable seating, ideal for working or socializing.",2026-01-17,"The reviews consistently describe Sip Society Coffee as a coffee shop with a focus on specialty drinks and a comfortable atmosphere, aligning with the target NAICS code for coffee shops."
Vitality Roasting,722515,Yes,High,5,,Active,,,"601 S Marquette Ave Ste 220, Minneapolis, MN 55402, USA",,,,,Coffee shop located in the skyways with friendly staff and a small seating area.,2025-10-16,"The reviews confirm that Vitality Roasting operates as a coffee shop, with descriptions of coffee offerings and a seating area, aligning with the target NAICS code."
Up Coffee,722515,Yes,High,5,,Active,,,"1901 Traffic St NE, Minneapolis, MN 55413, USA",,,,,A coffee shop and roaster offering a variety of coffee and treats in an industrial area.,2026-01-05,"The reviews describe Up Coffee as a coffee shop with a focus on coffee and pastries, confirming its classification under the coffee shop category."
Uncommon Grounds Coffeehouse,722515,Yes,High,5,,Active,,,"2809 Hennepin Ave, Minneapolis, MN 55408, USA",,,,,"A coffeehouse with a rustic and classic ambience, known for its exceptional scones and chai, providing a serene environment.",2025-12-10,"The reviews describe a coffeehouse with a focus on beverages and a pleasant atmosphere, aligning with the characteristics of a coffee shop."
SK Coffee: Downtown Minneapolis,722515,Yes,High,5,,Active,,,"Skyway Level, 50 South 6th St Unit 290, Minneapolis, MN 55402, USA",,,,,Cute coffee place with specialty roasts and free wifi.,2025-12-03,"The reviews describe a coffee shop with specialty roasts and positive customer experiences, confirming it fits the coffee shop category."
The Coffee Shop NE,722515,Yes,High,5,,Active,,,"2852A Johnson St NE, Minneapolis, MN 55418, USA",,,,,"Popular coffee shop with friendly staff, a nice atmosphere, and ample seating for customers.",2025-08-21,"The reviews consistently describe the establishment as a coffee shop, confirming its classification under NAICS 722515."
Gray Fox Coffee,722515,Yes,High,5,,Active,,,"700 Nicollet Mall, Minneapolis, MN 55402, USA",,,,,"Cozy coffee shop with a warm and inviting atmosphere, friendly staff, and a variety of coffee options.",2025-12-16,"The reviews describe a coffee shop environment with positive mentions of coffee and service, confirming it fits the target category."
Mosaic Coffee Co.,722515,Yes,High,5,,Active,,,"3040 Hennepin Ave, Minneapolis, MN 55408, USA",,,,,"A coffee shop known for its delicious coffee, chai, and matcha, with a warm atmosphere and friendly baristas.",2026-01-03,"The reviews clearly describe Mosaic Coffee Co. as a coffee shop, with multiple mentions of coffee and related beverages, confirming its classification under NAICS 722515."
Hola Coffee,722515,Yes,High,5,,Active,,,"326 Central Ave SE, Minneapolis, MN 55414, USA",,,,,Popular coffee shop known for high-quality lattes and a cozy atmosphere.,2026-01-10,"The reviews consistently describe a coffee shop experience, highlighting lattes and food items typical of a coffee shop, which aligns with NAICS 722515."
The Clapping Monkey House of Coffee,722515,Yes,High,5,,Active,,,"7276 Commerce Cir E, Fridley, MN 55432, USA",,,,,"A unique coffee shop offering a variety of drinks and food, with a welcoming atmosphere.",2025-12-31,"The reviews confirm that this establishment is a coffee shop, describing it as a cafe with coffee and food offerings, which aligns with the target NAICS code 722515."
Harmony,722515,Yes,High,5,,Active,,,"501 1st Ave NE Suite 2, Minneapolis, MN 55413, USA",,,,,"A popular coffee shop known for its extensive pour-over menu and minimalist decor, located in a garden-level setting.",2026-01-04,"The reviews clearly describe Harmony as a coffee shop, confirming its classification under NAICS 722515."
Loons Coffee,722515,Yes,High,5,,Active,,,"4648 E Lake St, Minneapolis, MN 55406, USA",,,,,"A beautiful space with a variety of seating options, including a conference table area and patio. Offers dark and light roast coffee and vegan pastries.",2025-09-20,"The reviews describe a coffee shop with various coffee options and a welcoming atmosphere, confirming that it fits the target category of a coffee shop."
Curioso Coffee Bar: Northeast,722515,Yes,High,5,,Active,,,"1712 Marshall St NE Suite 100, Minneapolis, MN 55413, USA",,,,,"Cozy space with strong WiFi, great service, delicious coffee, and areas for work and leisure.",2025-09-20,"The reviews describe a coffee shop environment with a focus on coffee, workspace, and social interaction, aligning with the target category of a coffee shop."
Crema Coffee + Cream,722515,Yes,High,5,,Active,,,"5013 S 34th Ave, Minneapolis, MN 55417, USA",,,,,"Crema Coffee + Cream is a coffee shop offering a variety of drinks including gelatos and specialty coffees, with a focus on quality and customer experience.",2025-10-24,"The reviews consistently describe the establishment as a coffee shop with a focus on high-quality drinks, which aligns with the target NAICS code for coffee shops (722515)."
Cosmic Coffee,722515,Yes,High,5,,Active,,,"3301 Central Ave NE, Minneapolis, MN 55418, USA",,,,,Coffee shop offering a variety of coffee drinks and a chill atmosphere with local artisan goods.,2025-10-20,"The reviews describe a coffee shop with a focus on coffee drinks and a pleasant atmosphere, aligning with the target category of a coffee shop."
